time	V(n003)	V(n005)	V(n006)	I(R3)	Ib(Q5)
6.667851831132013e-001	4.972581e+000	8.333926e-001	7.365631e-001	1.902742e-002	9.682951e-005
6.698543795417729e-001	4.788570e+000	8.349272e-001	7.369236e-001	1.921143e-002	9.800359e-005
6.729235759703443e-001	4.604952e+000	8.364618e-001	7.372810e-001	1.939505e-002	9.918078e-005
6.772483527560586e-001	4.346917e+000	8.386242e-001	7.377795e-001	1.965308e-002	1.008447e-004
6.815731295417729e-001	4.089774e+000	8.407866e-001	7.382726e-001	1.991023e-002	1.025139e-004
6.858979063274872e-001	3.833524e+000	8.429489e-001	7.387603e-001	2.016648e-002	1.041886e-004
6.902226831132013e-001	3.578166e+000	8.451113e-001	7.392426e-001	2.042183e-002	1.058688e-004
6.945474598989156e-001	3.323701e+000	8.472737e-001	7.397194e-001	2.067630e-002	1.075543e-004
6.988722366846299e-001	3.070128e+000	8.494361e-001	7.401909e-001	2.092987e-002	1.092452e-004
7.031970134703443e-001	2.817448e+000	8.515985e-001	7.406569e-001	2.118255e-002	1.109416e-004
7.091958973989156e-001	2.468441e+000	8.545979e-001	7.412949e-001	2.153156e-002	1.133030e-004
7.151947813274872e-001	2.121384e+000	8.575974e-001	7.419241e-001	2.187862e-002	1.156733e-004
7.211936652560586e-001	1.776279e+000	8.605968e-001	7.425444e-001	2.222372e-002	1.180525e-004
7.271925491846299e-001	1.433125e+000	8.635963e-001	7.431558e-001	2.256688e-002	1.204404e-004
7.331914331132015e-001	1.091921e+000	8.665957e-001	7.437584e-001	2.290808e-002	1.228373e-004
7.391903170417729e-001	7.526684e-001	8.695952e-001	7.443522e-001	2.324733e-002	1.252430e-004
7.451892009703443e-001	4.153666e-001	8.725946e-001	7.449371e-001	2.358463e-002	1.276575e-004
7.461657634703443e-001	3.629657e-001	8.730829e-001	7.450280e-001	2.363703e-002	1.280550e-004
7.471423259703443e-001	3.174711e-001	8.735712e-001	7.451077e-001	2.368253e-002	1.284636e-004
7.481188884703443e-001	2.841622e-001	8.740594e-001	7.451679e-001	2.371584e-002	1.288917e-004
7.490954509703443e-001	2.628581e-001	8.745477e-001	7.452089e-001	2.373714e-002	1.293390e-004
7.500720134703443e-001	2.491823e-001	8.750360e-001	7.452376e-001	2.375082e-002	1.297985e-004
7.510485759703443e-001	2.395833e-001	8.755243e-001	7.452599e-001	2.376042e-002	1.302646e-004
7.520251384703443e-001	2.323892e-001	8.760126e-001	7.452784e-001	2.376761e-002	1.307344e-004
7.539782634703443e-001	2.219434e-001	8.769891e-001	7.453090e-001	2.377806e-002	1.316802e-004
7.569079509703443e-001	2.111873e-001	8.784540e-001	7.453471e-001	2.378881e-002	1.331069e-004
7.591400938274872e-001	2.056151e-001	8.795700e-001	7.453719e-001	2.379439e-002	1.341982e-004
7.613722366846299e-001	2.006010e-001	8.806861e-001	7.453958e-001	2.379940e-002	1.352903e-004
7.636043795417729e-001	1.961452e-001	8.818022e-001	7.454189e-001	2.380385e-002	1.363833e-004
7.658365223989156e-001	1.922476e-001	8.829183e-001	7.454410e-001	2.380775e-002	1.374773e-004
7.680686652560586e-001	1.889082e-001	8.840343e-001	7.454623e-001	2.381109e-002	1.385721e-004
7.703008081132013e-001	1.861270e-001	8.851504e-001	7.454826e-001	2.381387e-002	1.396678e-004
7.725329509703443e-001	1.839041e-001	8.862665e-001	7.455021e-001	2.381610e-002	1.407644e-004
7.783923259703443e-001	1.786299e-001	8.891962e-001	7.455523e-001	2.382137e-002	1.436439e-004
7.842517009703443e-001	1.738756e-001	8.921258e-001	7.456017e-001	2.382612e-002	1.465242e-004
7.901110759703443e-001	1.696412e-001	8.950555e-001	7.456502e-001	2.383036e-002	1.494053e-004
7.959704509703443e-001	1.659266e-001	8.979852e-001	7.456979e-001	2.383407e-002	1.522873e-004
8.018298259703443e-001	1.627318e-001	9.009149e-001	7.457448e-001	2.383727e-002	1.551701e-004
8.076892009703443e-001	1.600569e-001	9.038446e-001	7.457908e-001	2.383994e-002	1.580538e-004
8.135485759703443e-001	1.579018e-001	9.067743e-001	7.458360e-001	2.384210e-002	1.609383e-004
8.281970134703443e-001	1.530000e-001	9.140985e-001	7.459482e-001	2.384700e-002	1.681503e-004
8.428454509703443e-001	1.485676e-001	9.214227e-001	7.460597e-001	2.385143e-002	1.753631e-004
8.574938884703443e-001	1.446045e-001	9.287469e-001	7.461703e-001	2.385539e-002	1.825767e-004
8.721423259703443e-001	1.411108e-001	9.360712e-001	7.462801e-001	2.385889e-002	1.897911e-004
8.867907634703443e-001	1.380864e-001	9.433954e-001	7.463892e-001	2.386191e-002	1.970063e-004
9.014392009703443e-001	1.355313e-001	9.507196e-001	7.464974e-001	2.386447e-002	2.042222e-004
9.160876384703443e-001	1.334456e-001	9.580438e-001	7.466049e-001	2.386655e-002	2.114389e-004
9.785876384703443e-001	1.253423e-001	9.892938e-001	7.470617e-001	2.387466e-002	2.422321e-004
9.795642009703443e-001	1.252344e-001	9.897821e-001	7.470688e-001	2.387477e-002	2.427133e-004
9.990954509703443e-001	1.231693e-001	9.995477e-001	7.472107e-001	2.387683e-002	2.523370e-004
1.000000000000000e+000	1.230775e-001	1.000000e+000	7.472173e-001	2.387692e-002	2.527827e-004
